model,var_level,var_distribution,distribution_specific_quantile_available,n_obs,observed_violations,expected_violations,violation_rate,kupiec_stat,kupiec_p_value,christoffersen_independence_stat,christoffersen_independence_p_value,christoffersen_conditional_coverage_stat,christoffersen_conditional_coverage_p_value,violation_cluster_count,max_violation_cluster_length,mean_violation_cluster_length,basel_traffic_light_zone,interpretation,normal_quantile,n00,n01,n10,n11
ComboMean-PoolC_GARCH_CalibratedNeural,0.01,common_normal,False,726,10,7.26,0.013774104683195593,0.934564083897385,0.33367975228748753,0.27972939969542665,0.5968786325944905,1.2142934835928116,0.5449034032362579,10,1,1.0,green,no_5pct_backtest_rejection,-2.3263478740408408,705,10,10,0
ComboMean-PoolD_AllStable,0.01,common_normal,False,726,10,7.26,0.013774104683195593,0.934564083897385,0.33367975228748753,0.27972939969542665,0.5968786325944905,1.2142934835928116,0.5449034032362579,10,1,1.0,green,no_5pct_backtest_rejection,-2.3263478740408408,705,10,10,0
ComboStack-PoolC_GARCH_CalibratedNeural,0.01,common_normal,False,726,10,7.26,0.013774104683195593,0.934564083897385,0.33367975228748753,0.27972939969542665,0.5968786325944905,1.2142934835928116,0.5449034032362579,10,1,1.0,green,no_5pct_backtest_rejection,-2.3263478740408408,705,10,10,0
ComboStack-PoolD_AllStable,0.01,common_normal,False,726,10,7.26,0.013774104683195593,0.934564083897385,0.33367975228748753,0.27972939969542665,0.5968786325944905,1.2142934835928116,0.5449034032362579,10,1,1.0,green,no_5pct_backtest_rejection,-2.3263478740408408,705,10,10,0
Hybrid-QLIKE,0.01,common_normal,False,726,10,7.26,0.013774104683195593,0.934564083897385,0.33367975228748753,0.27972939969542665,0.5968786325944905,1.2142934835928116,0.5449034032362579,10,1,1.0,green,no_5pct_backtest_rejection,-2.3263478740408408,705,10,10,0
ARIMA-GARCH-LSTM,0.01,common_normal,False,726,11,7.26,0.015151515151515152,1.6808348906362909,0.1948135521261446,0.3389489831982928,0.5604365178415512,2.0197838738345837,0.3642583403239205,11,1,1.0,green,no_5pct_backtest_rejection,-2.3263478740408408,703,11,11,0
Calibrated-ARIMA-GARCH-LSTM-isotonic,0.01,common_normal,False,726,11,7.26,0.015151515151515152,1.6808348906362909,0.1948135521261446,0.3389489831982928,0.5604365178415512,2.0197838738345837,0.3642583403239205,11,1,1.0,green,no_5pct_backtest_rejection,-2.3263478740408408,703,11,11,0
Calibrated-Hybrid-QLIKE-isotonic,0.01,common_normal,False,726,11,7.26,0.015151515151515152,1.6808348906362909,0.1948135521261446,0.3389489831982928,0.5604365178415512,2.0197838738345837,0.3642583403239205,11,1,1.0,green,no_5pct_backtest_rejection,-2.3263478740408408,703,11,11,0
Calibrated-LSTM-LogTarget-isotonic,0.01,common_normal,False,726,11,7.26,0.015151515151515152,1.6808348906362909,0.1948135521261446,0.3389489831982928,0.5604365178415512,2.0197838738345837,0.3642583403239205,11,1,1.0,green,no_5pct_backtest_rejection,-2.3263478740408408,703,11,11,0
Calibrated-LSTM-affine_nonnegative,0.01,common_normal,False,726,11,7.26,0.015151515151515152,1.6808348906362909,0.1948135521261446,0.3389489831982928,0.5604365178415512,2.0197838738345837,0.3642583403239205,11,1,1.0,green,no_5pct_backtest_rejection,-2.3263478740408408,703,11,11,0
Calibrated-LSTM-isotonic,0.01,common_normal,False,726,11,7.26,0.015151515151515152,1.6808348906362909,0.1948135521261446,0.3389489831982928,0.5604365178415512,2.0197838738345837,0.3642583403239205,11,1,1.0,green,no_5pct_backtest_rejection,-2.3263478740408408,703,11,11,0
Calibrated-LSTM-scale_qlike,0.01,common_normal,False,726,11,7.26,0.015151515151515152,1.6808348906362909,0.1948135521261446,0.3389489831982928,0.5604365178415512,2.0197838738345837,0.3642583403239205,11,1,1.0,green,no_5pct_backtest_rejection,-2.3263478740408408,703,11,11,0
ComboMean-PoolB_GARCH_Neural,0.01,common_normal,False,726,11,7.26,0.015151515151515152,1.6808348906362909,0.1948135521261446,0.3389489831982928,0.5604365178415512,2.0197838738345837,0.3642583403239205,11,1,1.0,green,no_5pct_backtest_rejection,-2.3263478740408408,703,11,11,0
ComboMedian-PoolB_GARCH_Neural,0.01,common_normal,False,726,11,7.26,0.015151515151515152,1.6808348906362909,0.1948135521261446,0.3389489831982928,0.5604365178415512,2.0197838738345837,0.3642583403239205,11,1,1.0,green,no_5pct_backtest_rejection,-2.3263478740408408,703,11,11,0
ComboMedian-PoolC_GARCH_CalibratedNeural,0.01,common_normal,False,726,11,7.26,0.015151515151515152,1.6808348906362909,0.1948135521261446,0.3389489831982928,0.5604365178415512,2.0197838738345837,0.3642583403239205,11,1,1.0,green,no_5pct_backtest_rejection,-2.3263478740408408,703,11,11,0
ComboMedian-PoolD_AllStable,0.01,common_normal,False,726,11,7.26,0.015151515151515152,1.6808348906362909,0.1948135521261446,0.3389489831982928,0.5604365178415512,2.0197838738345837,0.3642583403239205,11,1,1.0,green,no_5pct_backtest_rejection,-2.3263478740408408,703,11,11,0
ComboPair-GARCH11_HybridQLIKE,0.01,common_normal,False,726,11,7.26,0.015151515151515152,1.6808348906362909,0.1948135521261446,0.3389489831982928,0.5604365178415512,2.0197838738345837,0.3642583403239205,11,1,1.0,green,no_5pct_backtest_rejection,-2.3263478740408408,703,11,11,0
LSTM,0.01,common_normal,False,726,11,7.26,0.015151515151515152,1.6808348906362909,0.1948135521261446,0.3389489831982928,0.5604365178415512,2.0197838738345837,0.3642583403239205,11,1,1.0,green,no_5pct_backtest_rejection,-2.3263478740408408,703,11,11,0
LSTM-QLIKE,0.01,common_normal,False,726,11,7.26,0.015151515151515152,1.6808348906362909,0.1948135521261446,0.3389489831982928,0.5604365178415512,2.0197838738345837,0.3642583403239205,11,1,1.0,green,no_5pct_backtest_rejection,-2.3263478740408408,703,11,11,0
Calibrated-Hybrid-LogTarget-Small-isotonic,0.01,common_normal,False,726,12,7.26,0.01652892561983471,2.6119723527489214,0.106059777579162,0.40394614017773733,0.5250583103770574,3.0159184929266587,0.221361261100397,12,1,1.0,green,no_5pct_backtest_rejection,-2.3263478740408408,701,12,12,0
ComboPair-BestGARCHFamily_HybridQLIKE,0.01,common_normal,False,726,12,7.26,0.01652892561983471,2.6119723527489214,0.106059777579162,0.40394614017773733,0.5250583103770574,3.0159184929266587,0.221361261100397,12,1,1.0,green,no_5pct_backtest_rejection,-2.3263478740408408,701,12,12,0
ComboPair-BestRefitGARCH_HybridQLIKE,0.01,common_normal,False,726,12,7.26,0.01652892561983471,2.6119723527489214,0.106059777579162,0.40394614017773733,0.5250583103770574,3.0159184929266587,0.221361261100397,12,1,1.0,green,no_5pct_backtest_rejection,-2.3263478740408408,701,12,12,0
ComboStack-PoolB_GARCH_Neural,0.01,common_normal,False,726,12,7.26,0.01652892561983471,2.6119723527489214,0.106059777579162,0.40394614017773733,0.5250583103770574,3.0159184929266587,0.221361261100397,12,1,1.0,green,no_5pct_backtest_rejection,-2.3263478740408408,701,12,12,0
Refit-BestAsymmetric-rolling_1000_monthly,0.01,common_normal,False,745,13,7.45,0.0174496644295302,3.4169868730328403,0.06452869084689679,0.46240467651227846,0.4965022836348677,3.879391549545119,0.14374767479529763,13,1,1.0,yellow,no_5pct_backtest_rejection,-2.3263478740408408,718,13,13,0
ComboPair-BestGARCHFamily_BestCalibratedNeural,0.01,common_normal,False,726,13,7.26,0.01790633608815427,3.7127710419654534,0.05399767538208018,0.4747454808122029,0.49081208802247633,4.187516522777656,0.12322315964859797,13,1,1.0,yellow,no_5pct_backtest_rejection,-2.3263478740408408,699,13,13,0
ComboPair-BestRefitGARCH_BestCalibratedNeural,0.01,common_normal,False,726,13,7.26,0.01790633608815427,3.7127710419654534,0.05399767538208018,0.4747454808122029,0.49081208802247633,4.187516522777656,0.12322315964859797,13,1,1.0,yellow,no_5pct_backtest_rejection,-2.3263478740408408,699,13,13,0
ComboStack-PoolA_Econometric,0.01,common_normal,False,745,14,7.45,0.01879194630872483,4.621954223345426,0.031565256211097306,0.5370192233416731,0.46367068898594344,5.158973446687099,0.07581290703342569,14,1,1.0,yellow,reject_unconditional_coverage_5pct,-2.3263478740408408,716,14,14,0
AdvGARCH-BestARIMA,0.01,common_normal,False,745,15,7.45,0.020134228187919462,5.972636421235251,0.01452954207232434,0.6173275152899578,0.43204213507903166,6.5899639365252085,0.03706871345447983,15,1,1.0,yellow,reject_unconditional_coverage_5pct,-2.3263478740408408,714,15,15,0
AdvGARCH-BestAsymmetric,0.01,common_normal,False,745,15,7.45,0.020134228187919462,5.972636421235251,0.01452954207232434,0.6173275152899578,0.43204213507903166,6.5899639365252085,0.03706871345447983,15,1,1.0,yellow,reject_unconditional_coverage_5pct,-2.3263478740408408,714,15,15,0
AdvGARCH-BestHeavyTail,0.01,common_normal,False,745,15,7.45,0.020134228187919462,5.972636421235251,0.01452954207232434,0.6173275152899578,0.43204213507903166,6.5899639365252085,0.03706871345447983,15,1,1.0,yellow,reject_unconditional_coverage_5pct,-2.3263478740408408,714,15,15,0
AdvGARCH-BestQLIKE,0.01,common_normal,False,745,15,7.45,0.020134228187919462,5.972636421235251,0.01452954207232434,0.6173275152899578,0.43204213507903166,6.5899639365252085,0.03706871345447983,15,1,1.0,yellow,reject_unconditional_coverage_5pct,-2.3263478740408408,714,15,15,0
ComboMean-PoolA_Econometric,0.01,common_normal,False,745,15,7.45,0.020134228187919462,5.972636421235251,0.01452954207232434,0.6173275152899578,0.43204213507903166,6.5899639365252085,0.03706871345447983,15,1,1.0,yellow,reject_unconditional_coverage_5pct,-2.3263478740408408,714,15,15,0
ComboMedian-PoolA_Econometric,0.01,common_normal,False,745,15,7.45,0.020134228187919462,5.972636421235251,0.01452954207232434,0.6173275152899578,0.43204213507903166,6.5899639365252085,0.03706871345447983,15,1,1.0,yellow,reject_unconditional_coverage_5pct,-2.3263478740408408,714,15,15,0
