model,lambda,split,selection_metric,n_obs,rmse,mae,qlike,mean_actual_var,mean_pred_var,pred_actual_ratio,is_selected
EWMA(lambda=0.90),0.9,validation,validation_qlike,750,4.762441054440968,2.457349052717348,1.6872092354312729,2.1342407332578572,2.103431477799182,0.9855643016373107,True
EWMA(lambda=0.90),0.9,test,validation_qlike,745,3.696191886276454,1.4292976586075896,1.2254351381131867,1.2104611788275565,1.2335363252771319,1.0190631032644315,True
EWMA(lambda=0.94),0.94,validation,validation_qlike,750,4.797678449131481,2.4970193748581284,1.6913304473070536,2.1342407332578572,2.0736095534958396,0.9715912179834251,False
EWMA(lambda=0.94),0.94,test,validation_qlike,745,3.73010660794361,1.4537545018558407,1.2465405558271008,1.2104611788275565,1.250041872577424,1.032698854322784,False
EWMA(lambda=0.97),0.97,validation,validation_qlike,750,4.859352472136387,2.5270439117377044,1.7493860133936583,2.1342407332578572,2.003070737050612,0.9385402058150122,False
EWMA(lambda=0.97),0.97,test,validation_qlike,745,3.767925892240133,1.4876857450745484,1.2625654645242508,1.2104611788275565,1.288224929068529,1.064243076606797,False
EWMA(lambda=0.99),0.99,validation,validation_qlike,750,4.925090543736987,2.4758185354176536,1.8434277803392864,2.1342407332578572,1.8253206608871708,0.8552552823321253,False
EWMA(lambda=0.99),0.99,test,validation_qlike,745,3.7974493777475677,1.5360803433787678,1.2457412060961657,1.2104611788275565,1.3679038200028553,1.130068311094286,False
