model,split,n_obs,rmse,mae,qlike,mean_actual_var,mean_pred_var,pred_actual_ratio,variant,selection_metric,is_selected
HAR-SquaredReturn,test,745,3.568915373256519,1.3644580895493243,1.0479748411471337,1.2104611788275565,1.2107500354693332,1.0002386335446598,HAR-SquaredReturn,validation_qlike,False
HAR-SquaredReturn,validation,750,4.734106322505457,2.251554182519582,1.6476604929010683,2.1342407332578572,1.7385348966590324,0.8145917513275125,HAR-SquaredReturn,validation_qlike,False
Log-HAR-SquaredReturn,test,745,113.8781750518663,6.617033848001956,3.3759083910171928,1.2104611788275565,5.970128593309497,4.932110750624913,Log-HAR-SquaredReturn,validation_qlike,False
Log-HAR-SquaredReturn,validation,750,6.4839273239407555,2.469684575311629,4.653761407861022,2.1342407332578572,1.1945278605378755,0.559696871080922,Log-HAR-SquaredReturn,validation_qlike,False
HAR-Parkinson,test,745,3.5970617957984534,1.3583463889263883,1.034521462714548,1.2104611788275565,1.1808995701237492,0.9755782265297922,HAR-Parkinson,validation_qlike,True
HAR-Parkinson,validation,750,4.726372716134403,2.2950376498290184,1.5581617362173577,2.1342407332578572,1.8453875040603724,0.8646576158461007,HAR-Parkinson,validation_qlike,True
