epoch,loss,mae,val_loss,val_mae,lr
1,6.168892860412598,1.812985897064209,6.803856372833252,1.9723567962646484,0.0010000000474974513
2,6.0342583656311035,1.7892664670944214,6.760085582733154,1.9448808431625366,0.0010000000474974513
3,5.9588212966918945,1.7652924060821533,6.756916046142578,1.936087727546692,0.0010000000474974513
4,5.955430507659912,1.764628291130066,6.734066486358643,1.9311269521713257,0.0010000000474974513
5,5.898910045623779,1.7550190687179565,6.750157833099365,1.9251759052276611,0.0010000000474974513
6,5.864917278289795,1.7453073263168335,6.783322811126709,1.9181935787200928,0.0010000000474974513
7,5.849314212799072,1.7400315999984741,6.744044303894043,1.914279580116272,0.0010000000474974513
8,5.810347557067871,1.7384998798370361,6.774950981140137,1.9098803997039795,0.0010000000474974513
9,5.7795329093933105,1.734893798828125,6.826460361480713,1.904950499534607,0.0010000000474974513
10,5.7057366371154785,1.7230910062789917,6.8347344398498535,1.9069395065307617,0.0005000000237487257
11,5.698387145996094,1.7253118753433228,6.880721092224121,1.905153512954712,0.0005000000237487257
12,5.693231582641602,1.720063328742981,6.765084743499756,1.910969853401184,0.0005000000237487257
13,5.674876689910889,1.7239443063735962,6.852752685546875,1.9059596061706543,0.0005000000237487257
14,5.677871227264404,1.7234679460525513,6.841221809387207,1.9070545434951782,0.0005000000237487257
15,5.659003257751465,1.7199808359146118,6.8528852462768555,1.9058266878128052,0.0002500000118743628
16,5.623020172119141,1.7102094888687134,6.8769731521606445,1.9058936834335327,0.0002500000118743628
17,5.606461048126221,1.7095640897750854,6.866776466369629,1.9063700437545776,0.0002500000118743628
18,5.595264434814453,1.7097508907318115,6.869213581085205,1.9064282178878784,0.0002500000118743628
19,5.614162921905518,1.7100569009780884,6.9053635597229,1.9056862592697144,0.0002500000118743628
