epoch,loss,mae,val_loss,val_mae,lr
1,6.173107147216797,1.817260980606079,6.9984917640686035,1.971936821937561,0.0010000000474974513
2,6.035788059234619,1.7911076545715332,7.062780380249023,1.9483587741851807,0.0010000000474974513
3,5.998983860015869,1.772057294845581,7.110581398010254,1.9440362453460693,0.0010000000474974513
4,5.989874362945557,1.7708743810653687,7.133337497711182,1.9418436288833618,0.0010000000474974513
5,5.934699058532715,1.7626097202301025,7.162810802459717,1.941768765449524,0.0010000000474974513
6,5.930902004241943,1.7597973346710205,7.154238700866699,1.9351924657821655,0.0010000000474974513
7,5.909746170043945,1.755035400390625,7.092287063598633,1.9307399988174438,0.0005000000237487257
8,5.870294570922852,1.7499123811721802,7.044617176055908,1.9276885986328125,0.0005000000237487257
9,5.855249881744385,1.7473794221878052,7.070111274719238,1.9271280765533447,0.0005000000237487257
10,5.848464012145996,1.7431765794754028,7.09016752243042,1.926910638809204,0.0005000000237487257
11,5.834303855895996,1.7478306293487549,7.121456623077393,1.9285751581192017,0.0005000000237487257
12,5.813486099243164,1.7405271530151367,7.09620475769043,1.9271711111068726,0.0002500000118743628
13,5.808899879455566,1.7410293817520142,7.084044933319092,1.925439715385437,0.0002500000118743628
14,5.79671049118042,1.7402067184448242,7.058743476867676,1.9238711595535278,0.0002500000118743628
15,5.802151679992676,1.7356945276260376,7.035014629364014,1.9229497909545898,0.0002500000118743628
16,5.802612781524658,1.7382969856262207,7.0163702964782715,1.9229356050491333,0.0002500000118743628
