candidate,benchmark,combination,validation_weight_on_garch,validation_weight_on_candidate,n_test,mean_loss_combo,mean_loss_garch,mean_diff_combo_minus_garch,dm_stat,p_value,hac_lag
ARIMA-GARCH,"GARCH(1,1)","GARCH(1,1)+ARIMA-GARCH",1.0,0.0,745,1.0629583683305006,1.0629583683305006,0.0,0.0,1.0,9
LSTM-QLIKE,"GARCH(1,1)","GARCH(1,1)+LSTM-QLIKE",0.65,0.35,726,1.0425616655204173,1.0528883385999728,-0.010326673079555308,-0.15504391369396245,0.8767866977416885,8
Hybrid-QLIKE,"GARCH(1,1)","GARCH(1,1)+Hybrid-QLIKE",0.65,0.35,726,1.0584746060370982,1.0528883385999728,0.005586267437125502,0.07763190453697688,0.9381208628068269,8
Calibrated-Hybrid-LogTarget-Small-isotonic,"GARCH(1,1)","GARCH(1,1)+Calibrated-Hybrid-LogTarget-Small-isotonic",0.0,1.0,726,1.1186706368669244,1.0528883385999728,0.06578229826695164,0.8537812226679244,0.39322622047060873,8
ComboStack-PoolD_AllStable,"GARCH(1,1)","GARCH(1,1)+ComboStack-PoolD_AllStable",0.0,1.0,726,1.1135298016843957,1.0528883385999728,0.06064146308442319,0.6629370827561687,0.5073708506038361,8
