candidate_id,candidate_type,mean_label,arch_mean,arch_lags,arima_p,arima_q,volatility_label,arch_vol,p,o,q,distribution,volatility_group,is_asymmetric,is_heavy_tail,status,forecast_policy,validation_n_obs,validation_RMSE,validation_MAE,validation_QLIKE,test_n_obs,test_RMSE,test_MAE,test_QLIKE,warnings,aic,bic,converged,loglikelihood,n_params,fit_rows,context_rows,arima_aic,arima_bic,arima_converged,arima_warnings,garch_warnings,garch_aic,garch_bic,garch_converged,garch_loglikelihood,garch_n_params,selection_role,model,selected_by,prediction_file
arima_3_0_3_egarch_1_1_2_normal,two_step_arima,"ARIMA(3,0,3)",Zero,0,3.0,3.0,"EGARCH(1,1,2)",EGARCH,1,1,2,normal,EGARCH,True,False,success,fixed_train_parameters_recursive_state_updates,750,4.6858598440437635,2.2023521831092543,1.611303620133235,745,3.561391099658911,1.3246053463757665,1.0325481138224148,,,,,,,,,7435.963918716528,7482.462944364436,True,UserWarning: Non-stationary starting autoregressive parameters found. Using zeros as starting parameters. | UserWarning: Non-invertible starting MA parameters found. Using zeros as starting parameters.,,6974.520756847323,7003.582647877266,True,-3482.2603784236617,5.0,best_fixed_by_validation_qlike,AdvGARCH-BestQLIKE,validation_QLIKE,outputs/advanced/predictions/garch_family/pred_advgarch_bestqlike.csv
direct_constant_garch_1_3_normal,direct_arch,Constant,Constant,0,,,"GARCH(1,3)",GARCH,1,0,3,normal,GARCH,False,False,success,fixed_train_parameters_recursive_state_updates,750,4.710837171715732,2.355844248814868,1.6285560863231592,745,3.6258407495760023,1.4075287813117756,1.0634599816363697,,7029.19432581396,7064.068595049892,True,-3508.59716290698,6.0,2471.0,3968.0,,,,,,,,,,,best_symmetric_garch_by_validation_qlike,AdvGARCH-BestSymmetric,validation_QLIKE,outputs/advanced/predictions/garch_family/pred_advgarch_bestsymmetric.csv
direct_zero_egarch_1_1_1_normal,direct_arch,Zero,Zero,0,,,"EGARCH(1,1,1)",EGARCH,1,1,1,normal,EGARCH,True,False,success,fixed_train_parameters_recursive_state_updates,750,4.6804723925899925,2.212850923105695,1.6122722564450298,745,3.5432671751539644,1.3211597805752873,1.0299916811125422,,7003.873061441915,7027.122574265869,True,-3497.9365307209573,4.0,2471.0,3968.0,,,,,,,,,,,best_asymmetric_garch_by_validation_qlike,AdvGARCH-BestAsymmetric,validation_QLIKE,outputs/advanced/predictions/garch_family/pred_advgarch_bestasymmetric.csv
arima_3_0_3_egarch_1_1_1_ged,two_step_arima,"ARIMA(3,0,3)",Zero,0,3.0,3.0,"EGARCH(1,1,1)",EGARCH,1,1,1,ged,EGARCH,True,True,success,fixed_train_parameters_recursive_state_updates,750,4.6726799483471195,2.2057613972952845,1.6117770727858574,745,3.529047612058241,1.32750621328531,1.0315359747264947,,,,,,,,,7435.963918716528,7482.462944364436,True,UserWarning: Non-stationary starting autoregressive parameters found. Using zeros as starting parameters. | UserWarning: Non-invertible starting MA parameters found. Using zeros as starting parameters.,,6903.2369445973745,6932.298835627317,True,-3446.6184722986873,5.0,best_heavy_tail_by_validation_qlike,AdvGARCH-BestHeavyTail,validation_QLIKE,outputs/advanced/predictions/garch_family/pred_advgarch_bestheavytail.csv
arima_3_0_3_egarch_1_1_2_normal,two_step_arima,"ARIMA(3,0,3)",Zero,0,3.0,3.0,"EGARCH(1,1,2)",EGARCH,1,1,2,normal,EGARCH,True,False,success,fixed_train_parameters_recursive_state_updates,750,4.6858598440437635,2.2023521831092543,1.611303620133235,745,3.561391099658911,1.3246053463757665,1.0325481138224148,,,,,,,,,7435.963918716528,7482.462944364436,True,UserWarning: Non-stationary starting autoregressive parameters found. Using zeros as starting parameters. | UserWarning: Non-invertible starting MA parameters found. Using zeros as starting parameters.,,6974.520756847323,7003.582647877266,True,-3482.2603784236617,5.0,best_two_step_arima_garch_by_validation_qlike,AdvGARCH-BestARIMA,validation_QLIKE,outputs/advanced/predictions/garch_family/pred_advgarch_bestarima.csv
