epoch,loss,mae,val_loss,val_mae
1,6.010101318359375,1.1611948013305664,23.47945785522461,2.151318073272705
2,5.564297199249268,1.2191909551620483,22.25345802307129,2.388453245162964
3,5.4152092933654785,1.2231756448745728,22.435585021972656,2.5361714363098145
4,5.3147149085998535,1.2022985219955444,22.898414611816406,2.807288646697998
5,5.240523338317871,1.1965651512145996,23.318937301635742,2.9017910957336426
6,5.299527168273926,1.2003968954086304,23.880779266357422,3.07852840423584
7,5.224956512451172,1.201906681060791,24.23177146911621,3.0152366161346436
8,5.12960958480835,1.1895660161972046,26.387191772460938,3.4687533378601074
9,5.047692775726318,1.1721612215042114,26.69932746887207,3.484503984451294
10,5.071145057678223,1.173658013343811,25.037221908569336,3.101557970046997
11,4.883432388305664,1.1698076725006104,28.19967269897461,3.677356004714966
12,4.8762006759643555,1.1722348928451538,37.0039176940918,4.5958452224731445
