epoch,loss,mae,val_loss,val_mae
1,5.856647968292236,1.2201555967330933,22.97594451904297,2.365527391433716
2,5.493814468383789,1.2203351259231567,23.146183013916016,2.544044256210327
3,5.350635528564453,1.212559700012207,23.51976776123047,2.7301642894744873
4,5.318624019622803,1.2030689716339111,23.652021408081055,2.811020612716675
5,5.267062187194824,1.1952306032180786,24.386669158935547,2.987797498703003
6,5.221859931945801,1.1894875764846802,24.24395751953125,2.94649338722229
7,5.139886379241943,1.1817811727523804,25.523727416992188,3.029780387878418
8,5.14266300201416,1.188570499420166,26.988813400268555,3.5849416255950928
9,5.166222095489502,1.1763241291046143,26.288007736206055,3.5556044578552246
10,5.015933990478516,1.1794683933258057,23.484989166259766,2.5060665607452393
11,5.082164287567139,1.1654515266418457,27.418867111206055,3.74440598487854
