model,num_features,feature_names,seq_len,train_sequences,validation_sequences,test_sequences
LSTM,8,"log_return_pct,squared_return,abs_return,rolling_vol_5,rolling_vol_10,rolling_vol_20,volume,trading_value",20,2452,750,745
ARIMA-GARCH-LSTM,14,"log_return_pct,squared_return,abs_return,rolling_vol_5,rolling_vol_10,rolling_vol_20,volume,trading_value,garch_11_pred_var,garch_11_pred_vol,arima_garch_pred_var,arima_garch_pred_vol,arima_mean_pred,arima_resid_proxy",20,2452,750,745
