model,artifact_file,summary_file,availability,n_obs,loglikelihood,aic,bic,convergence_status,convergence_flag,mu,mu_p_value,omega,omega_p_value,alpha_1,alpha_1_p_value,beta_1,beta_1_p_value,alpha_beta_persistence,reason
"GARCH(1,1)",outputs/models/garch_11.pkl,outputs/metrics/garch_summary.txt,available,2471,-3508.665755617375,7025.33151123475,7048.581024058704,converged,0,0.0456318069903003,0.025615668882217828,0.03743840789668004,0.021954855808220434,0.1256585525826773,3.162576221395466e-09,0.847605474506385,1.614421875936488e-172,0.9732640270890623,
ARIMA-GARCH,outputs/models/arima_garch_garch.pkl,outputs/metrics/arima_garch_summary.txt,available,2471,-3497.362864863684,7000.725729727368,7018.162864345334,converged,0,not_available,not_available,0.03764701301154997,0.025630116150259695,0.12255564526718253,2.5763228785705877e-09,0.8493298594700404,1.4061745770977274e-168,0.9718855047372229,
