model,split,n_obs,mse,rmse,mae,qlike,mean_actual_var,mean_pred_var
LSTM,validation,731,23.38478412837442,4.835781646060378,2.3925914264961663,1.6673171114763983,2.1576002606846854,1.8128730878131987
LSTM,test,726,14.21076033888962,3.7697162146360066,1.6397344591598928,1.1610005135850472,1.2119119537615395,1.5685885013299212
ARIMA-GARCH-LSTM,validation,731,22.63021170795444,4.757122208641947,2.412675706091275,1.6152834550265276,2.1576002606846854,1.9692230159378574
ARIMA-GARCH-LSTM,test,726,14.162071013297517,3.763252717171346,1.7201126142672403,1.1686091687616968,1.2119119537615395,1.701790788777932
