epoch,loss,mae,val_loss,val_mae
1,5.856647968292236,1.2201555967330933,23.384784698486328,2.3925912380218506
2,5.493814468383789,1.2203351259231567,23.553043365478516,2.573784351348877
3,5.350635528564453,1.212559700012207,23.931102752685547,2.7636139392852783
4,5.318624019622803,1.2030689716339111,24.06596565246582,2.8467957973480225
5,5.267061710357666,1.1952306032180786,24.819377899169922,3.0277554988861084
6,5.221859931945801,1.1894875764846802,24.673250198364258,2.9861133098602295
7,5.139886379241943,1.1817811727523804,25.985572814941406,3.071094274520874
8,5.142662048339844,1.188570499420166,27.49070167541504,3.6423447132110596
9,5.166222095489502,1.1763241291046143,26.76207160949707,3.609518051147461
10,5.015933990478516,1.1794683933258057,23.90157127380371,2.537318468093872
11,5.082164287567139,1.1654515266418457,27.905296325683594,3.8000404834747314
