date,open,high,low,close,volume,trading_value,log_return_pct,squared_return,abs_return,rolling_vol_5,rolling_vol_10,rolling_vol_20,target_var_next,target_date
2010-02-01,482.9,487.0,481.8,487.0,20695680.0,836.32,1.032000903198945,1.0650258642034383,1.032000903198945,2.1898128833017667,1.8156659353172038,1.9816305146568265,0.03408985203289531,2010-02-02
2010-02-02,489.6,490.9,486.2,487.9,24044320.0,1012.65,0.18463437392017584,0.03408985203289531,0.18463437392017584,1.2885158530134797,1.717285179069818,1.835394651324004,2.3891535413102076,2010-02-03
2010-02-03,490.3,495.9,490.1,495.5,24485310.0,1120.73,1.545688694825128,2.3891535413102076,1.545688694825128,0.9625161218553552,1.7491913367528618,1.8807753963855296,2.759588811727737,2010-02-04
2010-02-04,496.3,504.4,496.0,503.8,34272400.0,1637.86,1.6612010148467093,2.759588811727737,1.6612010148467093,0.7520449833104251,1.5814075828877379,1.9353922737058982,4.695971292540821,2010-02-05
2010-02-05,495.7,501.1,491.1,493.0,31741600.0,1465.42,-2.167018987581978,4.695971292540821,2.167018987581978,1.5752353393161505,1.7902413710157459,1.9253739909259229,0.13379480427709123,2010-02-08
2010-02-08,488.9,491.7,487.7,491.2,19118380.0,823.39,-0.3657797209757414,0.13379480427709123,0.3657797209757414,1.5704391462217813,1.7969844734015739,1.9153246522681446,2.9042240031560502,2010-02-09
2010-02-09,487.0,488.8,482.4,482.9,21152200.0,935.58,-1.7041783953436478,2.9042240031560502,1.7041783953436478,1.7797834450475838,1.4686111073887085,1.8100004612139762,2.6997277206243733,2010-02-10
2010-02-10,486.9,491.2,486.9,490.9,15468550.0,720.93,1.6430848184510662,2.6997277206243733,1.6430848184510662,1.8041150206593006,1.3944898056732302,1.7862801911792145,3.3006304708160896,2010-02-11
2010-02-11,493.0,500.0,491.9,499.9,18570470.0,831.6,1.8167637355517887,3.3006304708160896,1.8167637355517887,1.8448280770034469,1.4385126977889293,1.8314146890778853,1.9889249839739813,2010-02-12
2010-02-12,505.3,508.7,504.8,507.0,22150560.0,940.08,1.4102925171658471,1.9889249839739813,1.4102925171658471,1.5377822559388774,1.468715274836904,1.8378024296594313,0.34806721178035493,2010-02-22
2010-02-22,513.2,513.2,507.9,510.0,19131920.0,794.08,0.5899722127188322,0.34806721178035493,0.5899722127188322,1.4508760295899343,1.4577251591821976,1.6200828295304779,7.414806946066958,2010-02-23
2010-02-23,504.5,504.5,496.3,496.3,24352140.0,994.56,-2.723014312497633,7.414806946066958,2.723014312497633,1.8877112582056226,1.7746204894386017,1.7077858759387554,0.11773322198475178,2010-02-24
2010-02-24,492.9,494.9,490.2,494.6,24796880.0,1073.19,-0.34312275060793007,0.11773322198475178,0.34312275060793007,1.8067508997509336,1.71140502212324,1.6857796854247795,0.006535226559422002,2010-02-25
2010-02-25,497.5,500.2,493.7,495.0,26741270.0,1165.72,0.08084074813744614,0.006535226559422002,0.08084074813744614,1.5557964315458386,1.6089988276926863,1.59295350862516,0.14676837136595333,2010-02-26
2010-02-26,494.3,496.9,492.0,496.9,31102610.0,1274.71,0.38310360395845056,0.14676837136595333,0.38310360395845056,1.3438847338043045,1.452932837681176,1.591562556324035,1.4887346627272147,2010-03-01
2010-03-01,502.6,505.3,502.4,503.0,32389410.0,1140.15,1.2201371491464452,1.4887346627272147,1.2201371491464452,1.482612804602813,1.4852093946380827,1.6045698603375735,0.15872805915282742,2010-03-02
2010-03-02,504.0,505.6,500.1,501.0,34862300.0,1375.34,-0.3984069014874459,0.15872805915282742,0.3984069014874459,0.6597004517438363,1.3464634276893335,1.4141854454094474,1.561610998432668,2010-03-03
2010-03-03,505.0,507.3,502.0,507.3,36152370.0,1474.03,1.2496443487779505,1.561610998432668,1.2496443487779505,0.7205568825707199,1.3103274529609354,1.3225527690238514,0.8148219553924018,2010-03-04
2010-03-04,510.9,516.8,510.9,511.9,47852720.0,2166.66,0.902674889089312,0.8148219553924018,0.902674889089312,0.692200959588996,1.2240204970266475,1.3017087580984545,0.08561329545562249,2010-03-05
2010-03-05,512.7,514.5,509.6,513.4,44095840.0,1918.74,0.29259749735023793,0.08561329545562249,0.29259749735023793,0.702729049672329,1.1540297207994061,1.3002639891795726,2.216136427117674,2010-03-08
2010-03-08,517.0,522.8,517.0,521.1,53071450.0,2222.52,1.4886693478128963,2.216136427117674,1.4886693478128963,0.7644299128154667,1.2269155106333043,1.317404084633485,1.3989412349987307,2010-03-09
2010-03-09,520.9,527.3,520.1,527.3,60441560.0,2605.91,1.1827684621255043,1.3989412349987307,1.1827684621255043,0.45872299513148473,0.6931881886291669,1.3301175085106725,0.09235148489345087,2010-03-10
2010-03-10,526.2,529.6,522.8,525.7,55713450.0,2515.44,-0.30389387110215116,0.09235148489345087,0.30389387110215116,0.7192239505758137,0.6873068483685725,1.3095511475211297,0.04387518374433664,2010-03-11
2010-03-11,526.9,529.5,524.4,524.6,50966990.0,2178.15,-0.20946403926291654,0.04387518374433664,0.20946403926291654,0.8117502210426844,0.717595690668619,1.273197903445871,1.7074989556374687,2010-03-12
2010-03-12,528.9,531.5,526.7,531.5,53686140.0,2435.65,1.3067130349229201,1.7074989556374687,1.3067130349229201,0.874334785794981,0.7481149585927794,1.1653428367269003,0.005659612576645014,2010-03-15
2010-03-15,538.0,538.0,531.6,531.9,54199710.0,2290.97,0.07523039662692876,0.005659612576645014,0.07523039662692876,0.7756796759748877,0.7426904489909442,1.154692524000916,9.093214071613165,2010-03-16
2010-03-16,526.1,529.6,516.1,516.1,64874240.0,2800.84,-3.0154956593590323,9.093214071613165,3.0154956593590323,1.5827787811461507,1.3390694617800294,1.3074655420171863,1.0254942134802103,2010-03-17
2010-03-17,519.9,520.1,510.9,510.9,49838910.0,2188.48,-1.0126668817929272,1.0254942134802103,1.0126668817929272,1.6003715808921906,1.351279340394446,1.3022007073337256,2.9165281298942562,2010-03-18
2010-03-18,515.2,519.7,510.5,519.7,44323480.0,2036.11,1.7077845677644052,2.9165281298942562,1.7077845677644052,1.9086816854401696,1.4281543942420445,1.2952876112843044,0.5105040385608063,2010-03-19
2010-03-19,520.1,521.2,516.0,516.0,53468830.0,2351.03,-0.7144956532833536,0.5105040385608063,0.7144956532833536,1.7175201932070578,1.452380640730779,1.2773083929473983,0.7333688535886845,2010-03-22
2010-03-22,515.7,517.8,511.6,511.6,39977520.0,1675.15,-0.8563695776875102,0.7333688535886845,0.8563695776875102,1.6771072246612613,1.3819839420362652,1.2882877080148085,1.0037527173210572,2010-03-23
2010-03-23,512.2,513.1,506.5,506.5,44044890.0,1749.02,-1.0018746015949587,1.0037527173210572,1.0018746015949587,1.1709563364797906,1.3128662981006107,1.1452633991132475,1.2090310456082796,2010-03-24
2010-03-24,511.1,512.9,508.8,512.1,43396280.0,1911.47,1.0995594779766484,1.2090310456082796,1.0995594779766484,1.2611678077881983,1.396898204487883,1.1610945947047289,2.936025967719742,2010-03-25
2010-03-25,507.9,508.8,502.2,503.4,50206760.0,2077.94,-1.7134835767289227,2.936025967719742,1.7134835767289227,1.044236230525188,1.4696724451643068,1.2355923345730933,0.14192018833857098,2010-03-26
2010-03-26,505.5,506.4,501.6,505.3,47585270.0,2012.95,0.37672295966475283,0.14192018833857098,0.37672295966475283,1.1342310783214085,1.3751810715308577,1.235511899038385,0.006261490242241293,2010-03-29
2010-03-29,506.7,509.2,504.1,505.7,35472710.0,1341.72,0.07912957880743011,0.006261490242241293,0.07912957880743011,1.1211485616924444,1.3753645704568669,1.2062776208920083,0.987338086796375,2010-03-30
2010-03-30,504.7,506.3,500.7,500.7,47215800.0,1797.61,-0.993648875003829,0.987338086796375,0.993648875003829,1.1197415758217473,1.0828220887883735,1.2245250112819164,0.09001813775460604,2010-03-31
2010-03-31,501.9,504.0,499.2,499.2,45342680.0,1780.25,-0.3000302280681166,0.09001813775460604,0.3000302280681166,0.8455363953435421,1.0539890374756957,1.1896222060313868,3.1927449496353915,2010-04-01
2010-04-01,500.4,508.9,500.0,508.2,41808030.0,1720.27,1.78682538308459,3.1927449496353915,1.78682538308459,1.0293399707178934,1.070319316831646,1.243297106643535,0.2039034279063904,2010-04-02
2010-04-02,510.4,513.0,508.5,510.5,39486490.0,1547.06,0.45155667186565895,0.2039034279063904,0.45155667186565895,1.0332738603774079,1.0744264344931262,1.2460152106065503,0.7035582828121254,2010-04-05
2010-04-05,514.2,516.3,513.5,514.8,41859130.0,1576.8,0.8387838117251223,0.7035582828121254,0.8387838117251223,1.0655277891396304,1.0768097947143278,1.2123924775968786,0.009424130554767074,2010-04-06
2010-04-06,517.5,520.3,515.3,515.3,66656790.0,2518.85,0.0970779612206966,0.009424130554767074,0.0970779612206966,0.7980332332014879,1.0101445131585223,1.1775868224360657,0.009405859655549275,2010-04-07
2010-04-07,516.3,517.3,512.5,515.8,48659250.0,1964.79,0.09698381130657464,0.009405859655549275,0.09698381130657464,0.7033581230545995,0.9561945641762141,1.1776159369185997,0.00037579684785687186,2010-04-08
2010-04-08,515.7,519.4,514.7,515.9,54227900.0,1999.3,0.019385480335985278,0.00037579684785687186,0.019385480335985278,0.34438059850794694,0.7259732289321081,1.1775576105909715,0.08429275740053352,2010-04-09
2010-04-09,517.1,519.6,516.4,517.4,59536420.0,2268.73,0.2903321501324535,0.08429275740053352,0.2903321501324535,0.33412633470235276,0.724748234999807,1.1355816573308668,0.23234478794326058,2010-04-12
2010-04-12,522.1,523.2,519.5,519.9,52162000.0,2004.37,0.482021563774133,0.23234478794326058,0.482021563774133,0.1880708797136635,0.7262162796874156,1.1431524551797607,0.1340470125834152,2010-04-13
