failure_category,count,stage,error_type,example_candidate_id,example_mean_label,example_volatility_label,example_distribution,example_error_message,handling_rule
invalid_forecast_start_for_ar_mean_lag,432,fit_or_forecast,ValueError,direct_ar_2_arch_1_normal,AR(2),ARCH(1),normal,"Due to backcasting and/or data availability start cannot be less than the index of the largest value in the right-hand-side variables used to fit the first observation.  In this model, this value is 1.",The fitted AR-mean specification could not produce forecasts from the requested context start; the candidate was rejected.
nonfinite_forecast,144,fit_or_forecast,FloatingPointError,direct_ar_1_arch_1_normal,AR(1),ARCH(1),normal,non-finite forecast,Raw model forecast contained non-finite variance values and was rejected before metric computation.
