model,alpha,tail_convention,var_distribution,mean_mapping,n_obs,var_violations,expected_violations,violation_ratio,violation_rate,kupiec_uc_p_value,christoffersen_independence_p_value,christoffersen_cc_p_value,quantile_loss,var_forecast_average,es_forecast_average,realized_return_average_on_exceedance_dates,es_calibration_error_on_exceedances,es_diagnostic_label,n00,n01,n10,n11,distribution_specific_quantile_available
AdvGARCH-BestAsymmetric,0.01,lower_tail_return,model_specific_normal_zero_mean,zero_mean,745,15,7.45,2.013422818791946,0.020134228187919462,0.01452954207232434,0.43204213507903166,0.03706871345447983,0.05351772471742489,-2.3282202247998867,-2.6673593061793452,-4.054563123280794,-1.088884370370785,mean_exceedance_return_minus_mean_es_forecast; diagnostic_not_formal_backtest,714,15,15,0,True
AdvGARCH-BestQLIKE,0.01,lower_tail_return,model_specific_normal_zero_mean,zero_mean,745,15,7.45,2.013422818791946,0.020134228187919462,0.01452954207232434,0.43204213507903166,0.03706871345447983,0.0538814637749486,-2.327219377497844,-2.6662126709355087,-4.054563123280794,-1.110151104867201,mean_exceedance_return_minus_mean_es_forecast; diagnostic_not_formal_backtest,714,15,15,0,True
"GARCH(1,1)",0.01,lower_tail_return,model_specific_normal_zero_mean,zero_mean,745,16,7.45,2.1476510067114094,0.021476510067114093,0.006310286031210278,0.4016592144647607,0.016883440708480166,0.054979170413884525,-2.410515227085537,-2.7616417704670813,-3.9159282181080712,-1.0381709640946086,mean_exceedance_return_minus_mean_es_forecast; diagnostic_not_formal_backtest,712,16,16,0,True
"GARCH(1,1)",0.025,lower_tail_return,model_specific_normal_zero_mean,zero_mean,745,22,18.625,1.1812080536912752,0.02953020134228188,0.44112117105692916,0.6777539371686541,0.6818028988748468,0.09213400238219616,-2.030875554766707,-2.422384584613362,-3.3453475564886292,-0.9531060081603939,mean_exceedance_return_minus_mean_es_forecast; diagnostic_not_formal_backtest,701,21,21,1,True
AdvGARCH-BestAsymmetric,0.025,lower_tail_return,model_specific_normal_zero_mean,zero_mean,745,24,18.625,1.2885906040268456,0.032214765100671144,0.22689395095445766,0.7991673693521846,0.46650820480910205,0.09042437515428206,-1.9615414528521264,-2.339684362400492,-3.26987358465812,-0.8353661372571483,mean_exceedance_return_minus_mean_es_forecast; diagnostic_not_formal_backtest,697,23,23,1,True
AdvGARCH-BestQLIKE,0.025,lower_tail_return,model_specific_normal_zero_mean,zero_mean,745,24,18.625,1.2885906040268456,0.032214765100671144,0.22689395095445766,0.7991673693521846,0.46650820480910205,0.09061848831358636,-1.9606982321593323,-2.3386785869344098,-3.26987358465812,-0.843333861932682,mean_exceedance_return_minus_mean_es_forecast; diagnostic_not_formal_backtest,697,23,23,1,True
"GARCH(1,1)",0.05,lower_tail_return,model_specific_normal_zero_mean,zero_mean,745,35,37.25,0.9395973154362416,0.04697986577181208,0.7025103516368938,0.5708741893418507,0.7917197697313111,0.1403955550580467,-1.704364492661337,-2.137341833989923,-2.747517358339723,-0.6788222683419171,mean_exceedance_return_minus_mean_es_forecast; diagnostic_not_formal_backtest,675,34,34,1,True
AdvGARCH-BestAsymmetric,0.05,lower_tail_return,model_specific_normal_zero_mean,zero_mean,745,34,37.25,0.912751677852349,0.04563758389261745,0.5794746706215251,0.6203220256527404,0.7586232855501056,0.13845030134291575,-1.646177480091112,-2.0643729727535307,-2.830039832999514,-0.72484410577067,mean_exceedance_return_minus_mean_es_forecast; diagnostic_not_formal_backtest,677,33,33,1,True
AdvGARCH-BestQLIKE,0.05,lower_tail_return,model_specific_normal_zero_mean,zero_mean,745,34,37.25,0.912751677852349,0.04563758389261745,0.5794746706215251,0.6203220256527404,0.7586232855501056,0.1384401979283812,-1.6454698269781964,-2.0634855472006626,-2.830039832999514,-0.7255387347476016,mean_exceedance_return_minus_mean_es_forecast; diagnostic_not_formal_backtest,677,33,33,1,True
