test,series,lags,n_obs,lm_stat,lm_p_value,f_stat,f_p_value
ARCH-LM,demeaned_returns,5,3968,455.2641993685093,3.5950747233858974e-96,102.7147162324411,3.624242188275677e-102
ARCH-LM,demeaned_returns,10,3968,480.75975329526216,5.688319514264778e-97,54.570826621906626,1.4300021043829237e-103
ARCH-LM,demeaned_returns,20,3968,496.55198370984493,1.5336426081359974e-92,28.248428352754207,2.381472273927622e-99
