proxy,proxy_group,model,price_source,n_obs,rmse,mae,qlike,mean_actual_var,mean_pred_var,pred_actual_ratio,qlike_rank
close_to_close_squared_return,daily_one_day,ARIMA-GARCH,processed_clean,743,3.6558334231916136,1.4164526399882074,1.06590324342488,1.2102371261784344,1.2489828948046786,1.0320150223358224,6.0
close_to_close_squared_return,daily_one_day,ARIMA-GARCH-LSTM,processed_clean,743,3.743216462197934,1.7288018267804806,1.1726488204114367,1.2102371261784344,1.7074074879950503,1.4108040904236103,10.0
close_to_close_squared_return,daily_one_day,AdvGARCH-BestAsymmetric,processed_clean,743,3.5476378975779355,1.3220388428982826,1.0295430645732706,1.2102371261784344,1.135897472274698,0.9385743072198762,1.0
close_to_close_squared_return,daily_one_day,AdvGARCH-BestQLIKE,processed_clean,743,3.5657940086032753,1.325484885725721,1.032104373714408,1.2102371261784344,1.132781425332948,0.9359995663907054,2.0
close_to_close_squared_return,daily_one_day,Calibrated-Hybrid-LogTarget-Small-isotonic,processed_clean,743,3.649977691334287,1.6386949733883875,1.1272465914934355,1.2102371261784344,1.622223286894648,1.340417717986509,8.0
close_to_close_squared_return,daily_one_day,ComboStack-PoolD_AllStable,processed_clean,743,3.637304232340212,1.6608680814496282,1.1148999053964448,1.2102371261784344,1.6688769005504167,1.378966868931074,7.0
close_to_close_squared_return,daily_one_day,EWMA(lambda=0.90),processed_clean,743,3.7007724078124427,1.4303943958601693,1.2255060772202617,1.2102371261784344,1.2306237541278089,1.0168451516718457,12.0
close_to_close_squared_return,daily_one_day,"GARCH(1,1)",processed_clean,743,3.632922520164498,1.409803017630962,1.0629056721651058,1.2102371261784344,1.2538934728091435,1.0360725561019293,5.0
close_to_close_squared_return,daily_one_day,HAR-Parkinson,processed_clean,743,3.6012812369089287,1.35888423673542,1.0329517365270706,1.2102371261784344,1.1821021063606763,0.9767524733713961,3.0
close_to_close_squared_return,daily_one_day,HAR-SquaredReturn,processed_clean,743,3.5735313307423486,1.3662635164755106,1.0480903369253634,1.2102371261784344,1.2107646440973359,1.000435879801975,4.0
close_to_close_squared_return,daily_one_day,HistoricalMean,processed_clean,743,3.774482583395358,1.448022071817662,1.190861751285904,1.2102371261784344,1.1987729084414447,0.9905272962719378,11.0
close_to_close_squared_return,daily_one_day,Hybrid-QLIKE,processed_clean,743,3.7909607196054753,1.8435937339865294,1.2317236878731264,1.2102371261784344,1.8375830881367783,1.5183661518791067,13.0
close_to_close_squared_return,daily_one_day,LSTM,processed_clean,743,3.7473161359755367,1.6446109334500212,1.1635812061875503,1.2102371261784344,1.5718875419082745,1.2988260795401507,9.0
close_to_close_squared_return,daily_one_day,RollingVol-10,processed_clean,743,3.9573845915500687,1.4977849885463768,1.3239702396637552,1.2102371261784344,1.2346324911146982,1.0201575083168182,15.0
close_to_close_squared_return,daily_one_day,RollingVol-20,processed_clean,743,3.8763196516446716,1.471786623634929,1.2848627870228952,1.2102371261784344,1.2191254311698112,1.007344267333331,14.0
close_to_close_squared_return,daily_one_day,RollingVol-5,processed_clean,743,3.99166345527005,1.505391012548713,1.9915076460901309,1.2102371261784344,1.2103073076291464,1.000057989834549,16.0
parkinson,daily_one_day,ARIMA-GARCH,processed_clean,743,1.5674363127240682,0.889194469922503,0.6594395453937022,0.779710225977793,1.2489828948046786,1.6018552190185729,4.0
