test,series,lags,n_obs,statistic,p_value
Ljung-Box,returns,5,3968,41.83900543573009,6.349204148240452e-08
Ljung-Box,returns,10,3968,49.34284055585686,3.5243183963970193e-07
Ljung-Box,returns,20,3968,60.71073494360601,5.525179118045107e-06
Ljung-Box,squared_returns,5,3968,794.8458377653084,1.5076503816433307e-169
Ljung-Box,squared_returns,10,3968,994.9177483345255,2.326336732610436e-207
Ljung-Box,squared_returns,20,3968,1081.3983192587655,1.6651477280168782e-216
Ljung-Box,absolute_returns,5,3968,825.4400111832126,3.625797409057427e-176
Ljung-Box,absolute_returns,10,3968,1176.525557497417,1.6663015474947895e-246
Ljung-Box,absolute_returns,20,3968,1409.3074927998073,1.1229482021353536e-286
