model,split,econ_expert,neural_expert,regime_indicator,threshold_quantile,threshold_value,low_econ_weight,low_neural_weight,high_econ_weight,high_neural_weight,validation_selection_qlike,n_high_regime,n_obs,rmse,mae,qlike,mean_actual_var,mean_pred_var,pred_actual_ratio
RegimeAwareCombo-Vol20Q75,validation,HAR-Parkinson,Calibrated-Hybrid-LogTarget-Small-isotonic,origin_rolling_vol_20,0.75,1.6731203455249393,0.45,0.55,0.0,1.0,1.4928995163564505,188,750,4.535763874571552,2.2778342959533897,1.4928995163564505,2.1342407332578572,2.079599722970297,0.9743979161131686
RegimeAwareCombo-Vol20Q75,test,HAR-Parkinson,Calibrated-Hybrid-LogTarget-Small-isotonic,origin_rolling_vol_20,0.75,1.6731203455249393,0.45,0.55,0.0,1.0,1.4928995163564505,55,745,3.6011037394859713,1.486535563737811,1.0643462938091877,1.2104611788275565,1.4260971693580262,1.1781436648297412
