model,split,econ_expert,neural_expert,econ_weight,neural_weight,selection_rule,n_obs,rmse,mae,qlike,mean_actual_var,mean_pred_var,pred_actual_ratio
StaticCombo-HAR-Parkinson-with-Calibrated-Hybrid-LogTarget-Small-isotonic,validation,HAR-Parkinson,Calibrated-Hybrid-LogTarget-Small-isotonic,0.35000000000000003,0.6499999999999999,validation_QLIKE_grid,750,4.572273810347883,2.2884672692441455,1.4970189639037452,2.1342407332578572,2.0331421030387373,0.9526301655461351
StaticCombo-HAR-Parkinson-with-Calibrated-Hybrid-LogTarget-Small-isotonic,test,HAR-Parkinson,Calibrated-Hybrid-LogTarget-Small-isotonic,0.35000000000000003,0.6499999999999999,validation_QLIKE_grid,745,3.608900698830293,1.5207878917513369,1.0770231182389596,1.2104611788275565,1.4675926637855663,1.2124243961355832
