proxy,proxy_group,model,price_source,n_obs,rmse,mae,qlike,mean_actual_var,mean_pred_var,pred_actual_ratio,qlike_rank
yang_zhang_5,rolling_sensitivity,ARIMA-GARCH,processed_clean,745,1.5250830388563883,0.5654293954949151,0.7341449030761301,1.0928867456092084,1.2496661875208015,1.1434544270405618,4.0
yang_zhang_5,rolling_sensitivity,ARIMA-GARCH-LSTM,processed_clean,745,2.305286276002199,1.153267787173984,1.0624274946494374,1.0928867456092084,1.7078216701545972,1.5626703105476911,13.0
yang_zhang_5,rolling_sensitivity,AdvGARCH-BestAsymmetric,processed_clean,745,1.5871947781155133,0.5266400452146835,0.7208310337756135,1.0928867456092084,1.1357096950114713,1.039183336767793,1.0
yang_zhang_5,rolling_sensitivity,AdvGARCH-BestQLIKE,processed_clean,745,1.661178659492844,0.5385862920842678,0.7246345615533721,1.0928867456092084,1.132748509541949,1.036473828686174,2.0
yang_zhang_5,rolling_sensitivity,Calibrated-Hybrid-LogTarget-Small-isotonic,processed_clean,745,2.1013753449201755,1.0448642368916816,0.9818914988154569,1.0928867456092084,1.6219658680650064,1.4841115738491943,10.0
yang_zhang_5,rolling_sensitivity,ComboStack-PoolD_AllStable,processed_clean,745,2.0613792110251565,1.0434792473977195,0.9844100028242239,1.0928867456092084,1.6684734378806985,1.5266663673834204,11.0
yang_zhang_5,rolling_sensitivity,EWMA(lambda=0.90),processed_clean,745,1.613699921116052,0.577291911255595,0.7384845446569746,1.0928867456092084,1.2335363252771319,1.1286954757508025,5.0
yang_zhang_5,rolling_sensitivity,"GARCH(1,1)",processed_clean,745,1.4635656543496363,0.5531426592606373,0.7310183520108496,1.0928867456092084,1.2544741754263462,1.1478537739306776,3.0
yang_zhang_5,rolling_sensitivity,HAR-Parkinson,processed_clean,745,1.9381930115486048,0.5748313092720095,0.7530672073278274,1.0928867456092084,1.180899570123749,1.0805324292458864,6.0
yang_zhang_5,rolling_sensitivity,HAR-SquaredReturn,processed_clean,745,1.451073383552172,0.578264684200539,0.76917561611955,1.0928867456092084,1.2107500354693332,1.1078458406908616,7.0
yang_zhang_5,rolling_sensitivity,HistoricalMean,processed_clean,745,2.403364176677007,0.9469736584886211,1.0929696653512992,1.0928867456092084,1.198772908441445,1.0968866749072086,14.0
yang_zhang_5,rolling_sensitivity,Hybrid-QLIKE,processed_clean,745,2.43652705936135,1.3109034055305273,1.1543134551184566,1.0928867456092084,1.8373984749685197,1.6812341098933337,15.0
yang_zhang_5,rolling_sensitivity,LSTM,processed_clean,745,2.3370337664440175,1.0957546961236926,1.0615051317718687,1.0928867456092084,1.5720048778009095,1.438396873341735,12.0
yang_zhang_5,rolling_sensitivity,RollingVol-10,processed_clean,745,1.8148607118469087,0.652983411142406,0.8418195834258969,1.0928867456092084,1.2330362163534714,1.1282378721375557,9.0
yang_zhang_5,rolling_sensitivity,RollingVol-20,processed_clean,745,2.0749537583079065,0.740648273840604,0.8082277748803945,1.0928867456092084,1.2275574730983645,1.1232247788073288,8.0
yang_zhang_5,rolling_sensitivity,RollingVol-5,processed_clean,745,1.4035196144739925,0.6471147042135027,1.3849674727353016,1.0928867456092084,1.2078618748922212,1.1052031509622913,16.0
yang_zhang_10,rolling_sensitivity,ARIMA-GARCH,processed_clean,745,0.9376127682390232,0.44431969394055526,0.7419377826778288,1.0978628675467588,1.2496661875208015,1.1382716589306427,4.0
yang_zhang_10,rolling_sensitivity,ARIMA-GARCH-LSTM,processed_clean,745,1.8379059336568138,1.0854341889520762,1.0673029231905666,1.0978628675467588,1.7078216701545972,1.5555874241113814,13.0
yang_zhang_10,rolling_sensitivity,AdvGARCH-BestAsymmetric,processed_clean,745,1.1606379487441447,0.44978708838582376,0.7416532007762614,1.0978628675467588,1.1357096950114713,1.0344731829297438,3.0
yang_zhang_10,rolling_sensitivity,AdvGARCH-BestQLIKE,processed_clean,745,1.210466884576454,0.45820893567326276,0.7437622903611929,1.0978628675467588,1.132748509541949,1.0317759558378583,5.0
yang_zhang_10,rolling_sensitivity,Calibrated-Hybrid-LogTarget-Small-isotonic,processed_clean,745,1.7319782423102756,0.9800144618776263,1.0055217511932448,1.0978628675467588,1.6219658680650064,1.4773847590723126,10.0
yang_zhang_10,rolling_sensitivity,ComboStack-PoolD_AllStable,processed_clean,745,1.6941703776529882,0.9862153489185665,1.0099547179172383,1.0978628675467588,1.6684734378806985,1.5197466707376703,11.0
yang_zhang_10,rolling_sensitivity,EWMA(lambda=0.90),processed_clean,745,0.9074366529865444,0.428133174666844,0.7317306828869536,1.0978628675467588,1.2335363252771319,1.1235796033739112,1.0
yang_zhang_10,rolling_sensitivity,"GARCH(1,1)",processed_clean,745,0.901567548855806,0.43919397535211663,0.7406682331502623,1.0978628675467588,1.2544741754263462,1.142651065546597,2.0
yang_zhang_10,rolling_sensitivity,HAR-Parkinson,processed_clean,745,1.5971385285385584,0.5864027969983613,0.8306019491658869,1.0978628675467588,1.180899570123749,1.0756348584432414,9.0
yang_zhang_10,rolling_sensitivity,HAR-SquaredReturn,processed_clean,745,1.2118522438428996,0.5509012440352877,0.810161819146403,1.0978628675467588,1.2107500354693332,1.1028244703956767,7.0
yang_zhang_10,rolling_sensitivity,HistoricalMean,processed_clean,745,1.9482963570323732,0.8755173541014963,1.09712067836011,1.0978628675467588,1.198772908441445,1.0919149776148052,14.0
yang_zhang_10,rolling_sensitivity,Hybrid-QLIKE,processed_clean,745,2.0054531809395733,1.243227802767237,1.163944627099993,1.0978628675467588,1.8373984749685197,1.6736138267198144,15.0
yang_zhang_10,rolling_sensitivity,LSTM,processed_clean,745,1.874054543405582,1.0032019010121394,1.06718647243734,1.0978628675467588,1.5720048778009095,1.4318772628804268,12.0
yang_zhang_10,rolling_sensitivity,RollingVol-10,processed_clean,745,0.7756035152661079,0.43914733906571135,0.829385110817177,1.0978628675467588,1.2330362163534714,1.1231240738734207,8.0
yang_zhang_10,rolling_sensitivity,RollingVol-20,processed_clean,745,1.301214840190749,0.5484367057931725,0.776589825625922,1.0978628675467588,1.2275574730983645,1.1181337026557936,6.0
yang_zhang_10,rolling_sensitivity,RollingVol-5,processed_clean,745,1.6163500020225539,0.7327569455554573,1.564762531366407,1.0978628675467588,1.2078618748922212,1.1001937587990946,16.0
yang_zhang_20,rolling_sensitivity,ARIMA-GARCH,processed_clean,745,1.048266314146461,0.46809125292455983,0.8053377805238587,1.1009720588078091,1.2496661875208015,1.1350571320347642,3.0
yang_zhang_20,rolling_sensitivity,ARIMA-GARCH-LSTM,processed_clean,745,1.4476398408696998,1.014105755411373,1.0861281127852613,1.1009720588078091,1.7078216701545972,1.5511943799953625,12.0
yang_zhang_20,rolling_sensitivity,AdvGARCH-BestAsymmetric,processed_clean,745,1.149245567298864,0.46148780698852565,0.8298387765863334,1.1009720588078091,1.1357096950114713,1.0315517872826654,6.0
yang_zhang_20,rolling_sensitivity,AdvGARCH-BestQLIKE,processed_clean,745,1.139794795232929,0.46062969305015466,0.8285368838616891,1.1009720588078091,1.132748509541949,1.0288621772731898,5.0
