epoch,loss,mae,val_loss,val_mae,lr
1,6.127903461456299,1.7923954725265503,6.790292263031006,1.9537640810012817,0.0010000000474974513
2,5.999978542327881,1.7744065523147583,6.848694801330566,1.915335774421692,0.0010000000474974513
3,5.977981090545654,1.7654765844345093,6.835291385650635,1.912874698638916,0.0010000000474974513
4,5.917878150939941,1.7544491291046143,6.811047077178955,1.9166408777236938,0.0010000000474974513
5,5.925181865692139,1.7577673196792603,6.934465408325195,1.9082273244857788,0.0010000000474974513
6,5.885978698730469,1.7479664087295532,6.804837703704834,1.964754581451416,0.0010000000474974513
7,5.83399772644043,1.7502301931381226,6.784709453582764,1.934095859527588,0.0005000000237487257
8,5.818556308746338,1.7317149639129639,6.80625057220459,1.9293997287750244,0.0005000000237487257
9,5.800012111663818,1.732685923576355,6.81033992767334,1.9606475830078125,0.0005000000237487257
10,5.777061939239502,1.7363922595977783,6.804062366485596,1.9468982219696045,0.0005000000237487257
11,5.783325672149658,1.730700135231018,6.840842247009277,1.946243166923523,0.0005000000237487257
12,5.750888347625732,1.7303112745285034,6.82837438583374,1.9538602828979492,0.0005000000237487257
13,5.701241493225098,1.7199733257293701,6.820659160614014,1.9594800472259521,0.0002500000118743628
14,5.697487831115723,1.7180458307266235,6.824160575866699,1.9595451354980469,0.0002500000118743628
15,5.681163311004639,1.7167309522628784,6.841486930847168,1.9606783390045166,0.0002500000118743628
16,5.671157360076904,1.7169699668884277,6.839984893798828,1.9577521085739136,0.0002500000118743628
17,5.667800426483154,1.7146896123886108,6.858353614807129,1.9613553285598755,0.0002500000118743628
18,5.632328510284424,1.7146117687225342,6.862039566040039,1.9611965417861938,0.0001250000059371814
19,5.607451438903809,1.7053214311599731,6.874578475952148,1.9609930515289307,0.0001250000059371814
20,5.60698938369751,1.7099056243896484,6.8690972328186035,1.9655489921569824,0.0001250000059371814
21,5.599517345428467,1.7069061994552612,6.868850231170654,1.9627878665924072,0.0001250000059371814
22,5.60451078414917,1.705399751663208,6.863729000091553,1.9629310369491577,0.0001250000059371814
