epoch,loss,mae,val_loss,val_mae
1,6.010101318359375,1.1611948013305664,23.900619506835938,2.173107385635376
2,5.564297199249268,1.2191909551620483,22.630210876464844,2.412675619125366
3,5.4152092933654785,1.2231755256652832,22.811174392700195,2.5633575916290283
4,5.3147149085998535,1.202298641204834,23.27933692932129,2.8407301902770996
5,5.240523338317871,1.19656503200531,23.708049774169922,2.937159299850464
6,5.299526691436768,1.2003968954086304,24.283567428588867,3.11806321144104
7,5.224956512451172,1.201906681060791,24.65056610107422,3.0548226833343506
8,5.129610061645508,1.1895660161972046,26.861181259155273,3.5197603702545166
9,5.047693252563477,1.1721612215042114,27.182842254638672,3.5364842414855957
10,5.071145057678223,1.1736581325531006,25.475160598754883,3.1431236267089844
11,4.8834333419799805,1.1698076725006104,28.725189208984375,3.7348601818084717
12,4.876200199127197,1.1722347736358643,37.749298095703125,4.67598819732666
