proxy,model,split,n_obs,rmse,mae,qlike,mean_actual_var,mean_pred_var,pred_actual_ratio,qlike_rank
close_to_close_squared_return,ARIMA-GARCH,test,744,3.6534318051832075,1.4152596337224728,1.065883276327145,1.2107691904379208,1.2488395834122297,1.0314431464518348,20.0
close_to_close_squared_return,ARIMA-GARCH,validation,750,4.721296435254293,2.3562430709806486,1.6364838435487945,2.1342407332578572,1.9666954342429883,0.9214965320434514,51.0
close_to_close_squared_return,ARIMA-GARCH-LSTM,test,725,3.765649245988565,1.7210512784081395,1.1685808858391886,1.212230038469188,1.7013506634482023,1.4034882897281435,45.0
close_to_close_squared_return,ARIMA-GARCH-LSTM,validation,731,4.757122208641947,2.412675706091275,1.6152834550265276,2.1576002606846854,1.9692230159378574,0.9126913135025999,41.0
close_to_close_squared_return,AdvGARCH-BestARIMA,test,744,3.5636785106095306,1.3253818653123164,1.0324374380479873,1.2107691904379208,1.1319482040463076,0.9349000726033468,4.0
close_to_close_squared_return,AdvGARCH-BestARIMA,validation,750,4.6858598440437635,2.202352183109254,1.611303620133235,2.1342407332578572,1.6590120539627702,0.7773312673263132,33.0
close_to_close_squared_return,AdvGARCH-BestAsymmetric,test,744,3.545536248151107,1.3219053166554378,1.0298709680570823,1.2107691904379208,1.1348870178842558,0.9373273013940673,2.0
close_to_close_squared_return,AdvGARCH-BestAsymmetric,validation,750,4.680472392589993,2.212850923105695,1.6122722564450298,2.1342407332578572,1.6877556244576706,0.7907990875431189,38.0
close_to_close_squared_return,AdvGARCH-BestHeavyTail,test,744,3.5313101471837522,1.3282763632680608,1.03142136902197,1.2107691904379208,1.1526791023945568,0.9520221620254861,3.0
close_to_close_squared_return,AdvGARCH-BestHeavyTail,validation,750,4.6726799483471195,2.2057613972952845,1.6117770727858574,2.1342407332578572,1.6990947125479319,0.7961120252607645,37.0
close_to_close_squared_return,AdvGARCH-BestQLIKE,test,744,3.5636785106095306,1.3253818653123164,1.0324374380479873,1.2107691904379208,1.1319482040463076,0.9349000726033468,4.0
close_to_close_squared_return,AdvGARCH-BestQLIKE,validation,750,4.6858598440437635,2.202352183109254,1.611303620133235,2.1342407332578572,1.6590120539627702,0.7773312673263132,33.0
close_to_close_squared_return,AdvGARCH-BestSymmetric,test,744,3.628143817086564,1.4082823877105617,1.0633570031219401,1.2107691904379208,1.2537226720280465,1.0354761930922525,18.0
close_to_close_squared_return,AdvGARCH-BestSymmetric,validation,750,4.710837171715732,2.355844248814868,1.6285560863231598,2.1342407332578572,1.9938429918260572,0.9342165392853847,46.0
close_to_close_squared_return,Calibrated-ARIMA-GARCH-LSTM-affine_nonnegative,test,725,3.769184024457544,1.7445992460046722,1.1753499073660016,1.212230038469188,1.7348319482025243,1.4311078699165725,48.0
close_to_close_squared_return,Calibrated-ARIMA-GARCH-LSTM-affine_nonnegative,validation,731,4.753293650248931,2.4315599557263234,1.6150923002074176,2.1576002606846854,2.0079758244904182,0.9306523831496082,39.0
close_to_close_squared_return,Calibrated-ARIMA-GARCH-LSTM-isotonic,test,725,3.6874116637648755,1.5812988020211403,1.1261119723303599,1.212230038469188,1.5153460180569867,1.250048233395186,35.0
close_to_close_squared_return,Calibrated-ARIMA-GARCH-LSTM-isotonic,validation,731,4.588258499200386,2.333051287530106,1.5505063755186843,2.1576002606846854,2.157600260684686,1.0000000000000002,11.0
close_to_close_squared_return,Calibrated-ARIMA-GARCH-LSTM-scale_mean,test,725,3.785720636817558,1.8367262998615403,1.2023986117841623,1.212230038469188,1.8641030524537316,1.5377469566813682,55.0
close_to_close_squared_return,Calibrated-ARIMA-GARCH-LSTM-scale_mean,validation,731,4.742003532780912,2.5060170042190757,1.6176140569551813,2.1576002606846854,2.1576002606846854,1.0,42.0
close_to_close_squared_return,Calibrated-ARIMA-GARCH-LSTM-scale_qlike,test,725,3.7698667093433,1.748923425966653,1.1766051772441743,1.212230038469188,1.7409802113187582,1.436179731626911,49.0
close_to_close_squared_return,Calibrated-ARIMA-GARCH-LSTM-scale_qlike,validation,731,4.752630935860325,2.43502772395448,1.6150985466889212,2.1576002606846854,2.015092112447183,0.933950625222728,40.0
close_to_close_squared_return,Calibrated-Hybrid-LogTarget-Small-affine_nonnegative,test,725,3.7071155285381074,1.6598267333141106,1.131380670182236,1.212230038469188,1.64578023655584,1.3576468032702291,38.0
close_to_close_squared_return,Calibrated-Hybrid-LogTarget-Small-affine_nonnegative,validation,731,4.669303574933172,2.38356961627511,1.5553800161280065,2.1576002606846854,2.126596292165643,0.985630346323186,12.0
close_to_close_squared_return,Calibrated-Hybrid-LogTarget-Small-isotonic,test,725,3.669389814904079,1.621080386878037,1.1187489861734612,1.212230038469188,1.6067404654445387,1.3254418835170436,31.0
