model,proxy_count,average_qlike_rank,best_rank,worst_rank,rank_std,top1_proxy_count,top3_proxy_count,top5_proxy_count,average_pred_actual_ratio
LSTM-QLIKE,7,52.57142857142857,49.0,54.0,1.8405855323893034,0,0,0,1.7917744774601552
Calibrated-Hybrid-LogTarget-affine_nonnegative,7,53.285714285714285,43.0,58.0,4.651091598885631,0,0,0,1.9875173137334365
Calibrated-LSTM-affine_nonnegative,7,54.285714285714285,52.0,57.0,1.9059520091609048,0,0,0,1.8743134430608266
Calibrated-Hybrid-LogTarget-scale_qlike,7,55.42857142857143,46.0,60.0,4.531071864901059,0,0,0,2.006120735717164
Calibrated-ARIMA-GARCH-LSTM-scale_mean,7,55.857142857142854,51.0,61.0,3.481730744843983,0,0,0,2.0034473597100773
Calibrated-LSTM-scale_qlike,7,56.0,53.0,59.0,2.138089935299395,0,0,0,1.8913472271251532
Calibrated-Hybrid-LogTarget-scale_mean,7,57.857142857142854,50.0,62.0,3.7197761617975815,0,0,0,2.0698360981468737
Calibrated-LSTM-LogTarget-Small-isotonic,7,59.714285714285715,56.0,63.0,2.1189138534559038,0,0,0,2.2792497135263416
Calibrated-LSTM-scale_mean,7,60.42857142857143,57.0,64.0,2.664965443739661,0,0,0,2.0062028872317823
Calibrated-LSTM-QLIKE-scale_qlike,7,62.0,59.0,65.0,2.0701966780270626,0,0,0,2.0104040296575505
Hybrid-LogTarget,7,62.285714285714285,35.0,74.0,13.976656924154295,0,0,0,0.3650539625259813
Hybrid-QLIKE,7,63.285714285714285,60.0,66.0,1.979486637221574,0,0,0,2.0182335385142283
Calibrated-LSTM-QLIKE-affine_nonnegative,7,63.714285714285715,61.0,67.0,2.249716535431946,0,0,0,2.0312056391862314
Calibrated-Hybrid-QLIKE-scale_qlike,7,65.0,62.0,68.0,2.0701966780270626,0,0,0,2.0652442367476005
Hybrid-LogTarget-Small,7,65.71428571428571,48.0,73.0,9.48252958587205,0,0,0,0.3587494533514442
Calibrated-Hybrid-QLIKE-affine_nonnegative,7,66.0,63.0,69.0,2.0701966780270626,0,0,0,2.0887430456935117
Calibrated-LSTM-LogTarget-Small-scale_qlike,7,67.28571428571429,65.0,70.0,1.9059520091609048,0,0,0,2.2204657681947944
LSTM-LogTarget,7,67.85714285714286,49.0,75.0,9.68693629037982,0,0,0,0.3327659429393373
LSTM-LogTarget-Small,7,68.0,50.0,75.0,8.451542547285166,0,0,0,0.36850559173093644
Calibrated-LSTM-LogTarget-Small-affine_nonnegative,7,68.28571428571429,66.0,71.0,1.9059520091609048,0,0,0,2.2276526652375837
Calibrated-LSTM-QLIKE-scale_mean,7,69.0,64.0,72.0,2.6726124191242437,0,0,0,2.17892047843185
Calibrated-Hybrid-QLIKE-scale_mean,7,70.71428571428571,67.0,73.0,2.1852940772540506,0,0,0,2.2521110751536724
Calibrated-LSTM-LogTarget-Small-scale_mean,7,71.14285714285714,68.0,74.0,2.531435020952764,0,0,0,2.3370088645272786
RollingVol-5,7,73.14285714285714,71.0,75.0,1.8844151368961313,0,0,0,1.2989771563655246
