epoch,loss,mae,val_loss,val_mae,lr
1,6.118885517120361,1.7938849925994873,6.747227191925049,1.9473134279251099,0.0010000000474974513
2,6.008516788482666,1.776676058769226,6.719254970550537,1.9338045120239258,0.0010000000474974513
3,5.927935600280762,1.7601605653762817,6.879936218261719,1.9102116823196411,0.0010000000474974513
4,5.908836364746094,1.7525973320007324,6.741081237792969,1.930106520652771,0.0010000000474974513
5,5.853113174438477,1.750461220741272,6.887243270874023,1.9032312631607056,0.0010000000474974513
6,5.827652454376221,1.7365401983261108,6.771543979644775,1.916308045387268,0.0010000000474974513
7,5.8381667137146,1.7405569553375244,6.733706951141357,1.915071964263916,0.0010000000474974513
8,5.79556131362915,1.7445694208145142,6.863994598388672,1.911791205406189,0.0005000000237487257
9,5.7551445960998535,1.7200446128845215,6.826371669769287,1.920972466468811,0.0005000000237487257
10,5.717119216918945,1.7299097776412964,6.808389186859131,1.9155299663543701,0.0005000000237487257
11,5.722653388977051,1.7257510423660278,6.821812152862549,1.9229340553283691,0.0005000000237487257
12,5.683230876922607,1.7224438190460205,6.8969597816467285,1.9192403554916382,0.0005000000237487257
13,5.637153148651123,1.707883358001709,6.873631954193115,1.9192265272140503,0.0002500000118743628
14,5.631030559539795,1.711084246635437,6.857083797454834,1.9202905893325806,0.0002500000118743628
15,5.602086544036865,1.7089412212371826,6.877845287322998,1.9257333278656006,0.0002500000118743628
16,5.603787899017334,1.7112846374511719,6.884284019470215,1.9285354614257812,0.0002500000118743628
17,5.580932140350342,1.703100562095642,6.9240899085998535,1.9305652379989624,0.0002500000118743628
