epoch,loss,mae,val_loss,val_mae,lr
1,1.0714412927627563,1.299119234085083,1.6793709993362427,2.3881449699401855,0.0010000000474974513
2,1.019871711730957,1.2377495765686035,1.701185941696167,2.6412417888641357,0.0010000000474974513
3,0.9881191253662109,1.2184603214263916,1.7204111814498901,2.6329281330108643,0.0010000000474974513
4,0.971186101436615,1.200473666191101,1.7562501430511475,2.730952739715576,0.0010000000474974513
5,0.9667689204216003,1.1983875036239624,1.8593600988388062,2.8090012073516846,0.0010000000474974513
6,0.9625732898712158,1.2011700868606567,1.8101898431777954,3.2343034744262695,0.0010000000474974513
7,0.9453359842300415,1.2246569395065308,1.8037768602371216,2.6883490085601807,0.0005000000237487257
8,0.9464010000228882,1.1761586666107178,1.823957920074463,2.836148500442505,0.0005000000237487257
9,0.935382068157196,1.186815857887268,1.8965473175048828,2.7030513286590576,0.0005000000237487257
10,0.936363160610199,1.1695295572280884,1.8745671510696411,3.061652421951294,0.0005000000237487257
11,0.9312178492546082,1.1971983909606934,1.9984132051467896,2.7200891971588135,0.0005000000237487257
12,0.9180825352668762,1.1549932956695557,1.9391424655914307,2.8946056365966797,0.0002500000118743628
13,0.9150875806808472,1.177581548690796,1.9910173416137695,2.8426191806793213,0.0002500000118743628
14,0.9128235578536987,1.1604821681976318,1.9965802431106567,2.9380743503570557,0.0002500000118743628
15,0.9124813675880432,1.1724307537078857,2.055039167404175,2.934248685836792,0.0002500000118743628
16,0.9026041030883789,1.157522201538086,2.06976318359375,2.9142041206359863,0.0002500000118743628
