epoch,loss,mae,val_loss,val_mae,lr
1,1.0683279037475586,1.27036452293396,1.6646738052368164,2.4205853939056396,0.0010000000474974513
2,1.0098530054092407,1.2415504455566406,1.665068507194519,2.416933536529541,0.0010000000474974513
3,0.9846700429916382,1.218469262123108,1.6886351108551025,2.584026575088501,0.0010000000474974513
4,0.971466600894928,1.209017038345337,1.7123172283172607,2.533630609512329,0.0010000000474974513
5,0.9577597975730896,1.19828200340271,1.7373096942901611,2.6562273502349854,0.0010000000474974513
6,0.9600417017936707,1.2037888765335083,1.7807477712631226,2.858518600463867,0.0010000000474974513
7,0.9327799081802368,1.1838487386703491,1.8177690505981445,2.583622932434082,0.0005000000237487257
8,0.9376164078712463,1.17970609664917,1.807141900062561,2.8985400199890137,0.0005000000237487257
9,0.9247785210609436,1.1943804025650024,1.8502768278121948,2.6551520824432373,0.0005000000237487257
10,0.9238877892494202,1.1736875772476196,1.8350721597671509,2.89548397064209,0.0005000000237487257
11,0.919611394405365,1.1931711435317993,1.8846280574798584,2.7348694801330566,0.0005000000237487257
12,0.9053605794906616,1.1640536785125732,1.8776518106460571,2.6822609901428223,0.0002500000118743628
13,0.9012739658355713,1.1637197732925415,1.903211236000061,2.678302049636841,0.0002500000118743628
14,0.899826169013977,1.1563808917999268,1.9137108325958252,2.7352750301361084,0.0002500000118743628
15,0.8965333700180054,1.162968397140503,1.9786100387573242,2.6905710697174072,0.0002500000118743628
16,0.8890109062194824,1.1475226879119873,1.9724397659301758,2.710641384124756,0.0002500000118743628
