epoch,loss,mae,val_loss,val_mae,lr
1,6.118885517120361,1.7938849925994873,6.741754531860352,1.9535069465637207,0.0010000000474974513
2,6.008516788482666,1.776676058769226,6.714418411254883,1.9398319721221924,0.0010000000474974513
3,5.927935600280762,1.7601605653762817,6.8751068115234375,1.9174474477767944,0.0010000000474974513
4,5.908836364746094,1.7525973320007324,6.739103317260742,1.9366464614868164,0.0010000000474974513
5,5.853113174438477,1.750461220741272,6.883535861968994,1.9103518724441528,0.0010000000474974513
6,5.827652454376221,1.7365401983261108,6.766200542449951,1.9224408864974976,0.0010000000474974513
7,5.8381667137146,1.7405569553375244,6.733493328094482,1.9224132299423218,0.0010000000474974513
8,5.79556131362915,1.7445694208145142,6.853127479553223,1.9174714088439941,0.0005000000237487257
9,5.7551445960998535,1.7200446128845215,6.814762592315674,1.926089882850647,0.0005000000237487257
10,5.717119216918945,1.7299097776412964,6.802889347076416,1.921901822090149,0.0005000000237487257
11,5.722653388977051,1.7257510423660278,6.813391208648682,1.9286472797393799,0.0005000000237487257
12,5.683230876922607,1.7224438190460205,6.88744592666626,1.925079107284546,0.0005000000237487257
13,5.637153148651123,1.707883358001709,6.866025924682617,1.9254423379898071,0.0002500000118743628
14,5.631030559539795,1.711084246635437,6.849846839904785,1.9265491962432861,0.0002500000118743628
15,5.602086544036865,1.7089412212371826,6.8703718185424805,1.931834101676941,0.0002500000118743628
16,5.603787899017334,1.7112846374511719,6.877124309539795,1.9346599578857422,0.0002500000118743628
17,5.580932140350342,1.703100562095642,6.915415287017822,1.9366366863250732,0.0002500000118743628
