epoch,loss,mae,val_loss,val_mae,lr
1,6.168892860412598,1.812985897064209,6.7916035652160645,1.9767667055130005,0.0010000000474974513
2,6.0342583656311035,1.7892664670944214,6.750199317932129,1.9498807191848755,0.0010000000474974513
3,5.9588212966918945,1.7652924060821533,6.749887466430664,1.9417335987091064,0.0010000000474974513
4,5.955430507659912,1.764628291130066,6.727992057800293,1.9366872310638428,0.0010000000474974513
5,5.898910045623779,1.7550190687179565,6.743349552154541,1.9307010173797607,0.0010000000474974513
6,5.864917278289795,1.7453073263168335,6.775486946105957,1.923811674118042,0.0010000000474974513
7,5.849314212799072,1.7400315999984741,6.739755153656006,1.9206346273422241,0.0010000000474974513
8,5.810347557067871,1.7384998798370361,6.767055511474609,1.9155938625335693,0.0010000000474974513
9,5.7795329093933105,1.734893798828125,6.8182573318481445,1.9108940362930298,0.0010000000474974513
10,5.7057366371154785,1.7230910062789917,6.82767915725708,1.9132992029190063,0.0005000000237487257
11,5.698387145996094,1.7253118753433228,6.872976779937744,1.91167414188385,0.0005000000237487257
12,5.693231582641602,1.720063328742981,6.757964611053467,1.9170433282852173,0.0005000000237487257
13,5.674876689910889,1.7239443063735962,6.844466686248779,1.9123868942260742,0.0005000000237487257
14,5.677871227264404,1.7234679460525513,6.833966255187988,1.9135687351226807,0.0005000000237487257
15,5.659003257751465,1.7199808359146118,6.847583770751953,1.9128795862197876,0.0002500000118743628
16,5.623020172119141,1.7102094888687134,6.871291637420654,1.9129873514175415,0.0002500000118743628
17,5.606461048126221,1.7095640897750854,6.861630916595459,1.9134920835494995,0.0002500000118743628
18,5.595264434814453,1.7097508907318115,6.865170001983643,1.9138587713241577,0.0002500000118743628
19,5.614162921905518,1.7100569009780884,6.90029239654541,1.9130473136901855,0.0002500000118743628
