epoch,loss,mae,val_loss,val_mae,lr
1,6.173107147216797,1.817260980606079,6.97708797454834,1.9753061532974243,0.0010000000474974513
2,6.035788059234619,1.7911076545715332,7.0400590896606445,1.9521077871322632,0.0010000000474974513
3,5.998983860015869,1.772057294845581,7.087967395782471,1.947887659072876,0.0010000000474974513
4,5.989874362945557,1.7708743810653687,7.110021591186523,1.9452389478683472,0.0010000000474974513
5,5.934699058532715,1.7626097202301025,7.137994289398193,1.944964051246643,0.0010000000474974513
6,5.930902004241943,1.7597973346710205,7.133726596832275,1.939732313156128,0.0010000000474974513
7,5.909746170043945,1.755035400390625,7.071091175079346,1.9348090887069702,0.0005000000237487257
8,5.870294570922852,1.7499123811721802,7.0235395431518555,1.931637167930603,0.0005000000237487257
9,5.855249881744385,1.7473794221878052,7.048102378845215,1.9311444759368896,0.0005000000237487257
10,5.848464012145996,1.7431765794754028,7.067302703857422,1.9309450387954712,0.0005000000237487257
11,5.834303855895996,1.7478306293487549,7.097617149353027,1.932515263557434,0.0005000000237487257
12,5.813486099243164,1.7405271530151367,7.073724746704102,1.9314173460006714,0.0002500000118743628
13,5.808899879455566,1.7410293817520142,7.061384201049805,1.9296977519989014,0.0002500000118743628
14,5.79671049118042,1.7402067184448242,7.036518096923828,1.9281678199768066,0.0002500000118743628
15,5.802151679992676,1.7356945276260376,7.013228416442871,1.9273021221160889,0.0002500000118743628
16,5.802612781524658,1.7382969856262207,6.994670391082764,1.9271892309188843,0.0002500000118743628
