model,alpha,n_obs,violation_count,expected_violation_count,violation_rate,kupiec_lr_uc,kupiec_p_value,christoffersen_lr_ind,christoffersen_ind_p_value,christoffersen_lr_cc,christoffersen_cc_p_value,average_var,average_shortfall_on_violation_days,average_return_on_violation_days,n00,n01,n10,n11
ComboStack-PoolD_AllStable,0.01,726,10,7.26,0.013774104683195593,0.934564083897385,0.33367975228748753,0.27972939969542665,0.5968786325944905,1.2142934835928116,0.5449034032362579,-2.972069874188934,1.573397794475477,-4.746797454857474,705,10,10,0
Hybrid-QLIKE,0.01,726,10,7.26,0.013774104683195593,0.934564083897385,0.33367975228748753,0.27972939969542665,0.5968786325944905,1.2142934835928116,0.5449034032362579,-3.1838874637481793,1.5074920989227105,-4.775597901493062,705,10,10,0
Calibrated-Hybrid-LogTarget-Small-isotonic,0.01,726,12,7.26,0.01652892561983471,2.6119723527489214,0.106059777579162,0.40394614017773733,0.5250583103770574,3.0159184929266587,0.221361261100397,-2.8880298548568764,1.467315716040467,-4.327977075792178,701,12,12,0
Refit-BestAsymmetric-rolling_1000_monthly,0.01,745,13,7.45,0.0174496644295302,3.4169868730328403,0.06452869084689679,0.46240467651227846,0.4965022836348677,3.879391549545119,0.14374767479529763,-2.5097246011673655,1.522284413391829,-4.274517361432141,718,13,13,0
AdvGARCH-BestQLIKE,0.01,745,15,7.45,0.020134228187919462,5.972636421235251,0.01452954207232434,0.6173275152899578,0.43204213507903166,6.5899639365252085,0.03706871345447983,-2.327219377497844,1.484515812619207,-4.054563123280794,714,15,15,0
ARIMA-GARCH,0.01,745,16,7.45,0.021476510067114093,7.4594906207769895,0.006310286031210278,0.7033533335125526,0.4016592144647607,8.162843954289542,0.016883440708480166,-2.4117913928125048,1.4269330592663028,-3.9159282181080712,712,16,16,0
"GARCH(1,1)",0.01,745,16,7.45,0.021476510067114093,7.4594906207769895,0.006310286031210278,0.7033533335125526,0.4016592144647607,8.162843954289542,0.016883440708480166,-2.410515227085537,1.4040609097416905,-3.9159282181080712,712,16,16,0
LSTM-LogTarget,0.01,726,56,7.26,0.07713498622589532,134.71541330700666,3.810527114793049e-31,3.209364396204194,0.07321792092063831,137.92477770321085,1.122057370578221e-30,-1.2775367308054169,0.9932928884039119,-2.3246886818250405,622,47,48,8
