proxy,proxy_group,model,price_source,n_obs,rmse,mae,qlike,mean_actual_var,mean_pred_var,pred_actual_ratio,qlike_rank
close_to_close_squared_return,daily_one_day,ARIMA-GARCH,processed_clean,724,3.676680159211339,1.40217371763237,1.055555716640942,1.2116860289432663,1.2353415203536016,1.0195227896049652,6.0
close_to_close_squared_return,daily_one_day,ARIMA-GARCH-LSTM,processed_clean,724,3.767943172688557,1.7220310988308294,1.168250926708159,1.2116860289432663,1.7013490777977265,1.4041171039014986,10.0
close_to_close_squared_return,daily_one_day,AdvGARCH-BestAsymmetric,processed_clean,724,3.570300506026183,1.3152250398444876,1.0209284276731692,1.2116860289432663,1.1305865322152,0.9330688851807637,1.0
close_to_close_squared_return,daily_one_day,AdvGARCH-BestQLIKE,processed_clean,724,3.588538913098846,1.319081240027028,1.022416106176218,1.2116860289432663,1.128452097151263,0.9313073438136502,2.0
close_to_close_squared_return,daily_one_day,Calibrated-Hybrid-LogTarget-Small-isotonic,processed_clean,724,3.6718776469088676,1.6227833294228482,1.1190087903362878,1.2116860289432663,1.6068515525573455,1.326128645684485,8.0
close_to_close_squared_return,daily_one_day,ComboStack-PoolD_AllStable,processed_clean,724,3.6705502131097147,1.674686236050749,1.1135990706896817,1.2116860289432663,1.6946408571961524,1.398580834239774,7.0
close_to_close_squared_return,daily_one_day,EWMA(lambda=0.90),processed_clean,724,3.721093850705448,1.4113289116579935,1.219664359874449,1.2116860289432663,1.2084312009849107,0.9973138025192928,12.0
close_to_close_squared_return,daily_one_day,"GARCH(1,1)",processed_clean,724,3.65368445446612,1.395858270448095,1.0528064417624734,1.2116860289432663,1.2406879635964736,1.023935189447138,5.0
close_to_close_squared_return,daily_one_day,HAR-Parkinson,processed_clean,724,3.6256927600397213,1.3538756635685985,1.027748117117027,1.2116860289432663,1.1778396606359651,0.972066717368344,3.0
close_to_close_squared_return,daily_one_day,HAR-SquaredReturn,processed_clean,724,3.5952245366328124,1.3573938319929029,1.039458477047772,1.2116860289432663,1.2032470662932078,0.9930353553243341,4.0
close_to_close_squared_return,daily_one_day,HistoricalMean,processed_clean,724,3.804520432586904,1.4501616684528313,1.1920704061984642,1.2116860289432663,1.198772908441445,0.9893428493905446,11.0
