proxy,close_to_close_squared_return,parkinson,garman_klass,rogers_satchell,yang_zhang_5,yang_zhang_10,yang_zhang_20
close_to_close_squared_return,1.0,0.6535466953703852,0.48762710857931346,0.3452478565953127,0.4182300194906969,0.36051632640395276,0.2741788513070393
parkinson,0.6535466953703852,1.0,0.9153281275921787,0.7847101151264242,0.5062865341123713,0.4588836038693548,0.37213226869389626
garman_klass,0.48762710857931346,0.9153281275921787,1.0,0.9567097344043504,0.5309373707677416,0.4793336307530788,0.3870151789638234
rogers_satchell,0.3452478565953127,0.7847101151264242,0.9567097344043504,1.0,0.49931178006414595,0.45457276676957054,0.366737072156302
yang_zhang_5,0.4182300194906969,0.5062865341123713,0.5309373707677416,0.49931178006414595,1.0,0.8421781831484066,0.6612051711880143
yang_zhang_10,0.36051632640395276,0.4588836038693548,0.4793336307530788,0.45457276676957054,0.8421781831484066,1.0,0.8340019493002399
yang_zhang_20,0.2741788513070393,0.37213226869389626,0.3870151789638234,0.366737072156302,0.6612051711880143,0.8340019493002399,1.0
