model,proxy_count,average_qlike_rank,best_rank,worst_rank,rank_std,top1_proxy_count,top3_proxy_count,top5_proxy_count,average_pred_actual_ratio,average_spike_underprediction_rate,model_count_max,classification
LSTM-QLIKE,7,50.714285714285715,47.0,52.0,1.749635530559413,0,0,0,1.7912443763130412,0.9099804305283757,73,middle_ranked_model
Calibrated-Hybrid-LogTarget-affine_nonnegative,7,51.42857142857143,42.0,56.0,4.337778985911137,0,0,0,1.9865640159505797,0.7045009784735813,73,middle_ranked_model
Calibrated-LSTM-affine_nonnegative,7,52.42857142857143,50.0,55.0,1.8405855323893037,0,0,0,1.8739834790519787,0.8375733855185911,73,middle_ranked_model
Calibrated-Hybrid-LogTarget-scale_qlike,7,53.57142857142857,45.0,58.0,4.2378277069118075,0,0,0,2.005158514942388,0.7005870841487282,73,middle_ranked_model
Calibrated-ARIMA-GARCH-LSTM-scale_mean,7,54.0,49.0,59.0,3.4641016151377544,0,0,0,2.003175940121056,0.7279843444227005,73,middle_ranked_model
Calibrated-LSTM-scale_qlike,7,54.142857142857146,51.0,57.0,2.030381486221699,0,0,0,1.8910142643992565,0.8277886497064578,73,middle_ranked_model
Calibrated-Hybrid-LogTarget-scale_mean,7,56.0,49.0,60.0,3.4226138716316967,0,0,0,2.068843316776063,0.684931506849315,73,weak_model
Calibrated-LSTM-LogTarget-Small-isotonic,7,57.857142857142854,55.0,61.0,1.8844151368961315,0,0,0,2.2783166341050713,0.5538160469667319,73,weak_model
Calibrated-LSTM-scale_mean,7,58.57142857142857,55.0,62.0,2.498979383505129,0,0,0,2.0058497047106383,0.7632093933463795,73,weak_model
Calibrated-LSTM-QLIKE-scale_qlike,7,60.0,57.0,63.0,2.0701966780270626,0,0,0,2.0098092463878414,0.8101761252446185,73,weak_model
Hybrid-LogTarget,7,60.285714285714285,33.0,72.0,13.976656924154295,0,0,0,0.3648788671289781,1.0,73,proxy_sensitive_model
Hybrid-QLIKE,7,61.285714285714285,58.0,64.0,1.979486637221574,0,0,0,2.0176228407892802,0.8043052837573386,73,weak_model
Calibrated-LSTM-QLIKE-affine_nonnegative,7,61.714285714285715,59.0,65.0,2.249716535431946,0,0,0,2.030604701706151,0.796477495107632,73,weak_model
Calibrated-Hybrid-QLIKE-scale_qlike,7,63.0,60.0,66.0,2.0701966780270626,0,0,0,2.064619314045259,0.7710371819960861,73,weak_model
Hybrid-LogTarget-Small,7,63.714285714285715,46.0,71.0,9.48252958587205,0,0,0,0.35858383460217,1.0,73,weak_model
Calibrated-Hybrid-QLIKE-affine_nonnegative,7,64.0,61.0,67.0,2.0701966780270626,0,0,0,2.0881110124814652,0.7592954990215264,73,weak_model
Calibrated-LSTM-LogTarget-Small-scale_qlike,7,65.28571428571429,63.0,68.0,1.9059520091609048,0,0,0,2.219619161378564,0.6242661448140899,73,weak_model
LSTM-LogTarget,7,65.85714285714286,47.0,73.0,9.686936290379819,0,0,0,0.33267106637789107,1.0,73,weak_model
LSTM-LogTarget-Small,7,66.0,48.0,73.0,8.451542547285166,0,0,0,0.36836508997214007,1.0,73,weak_model
Calibrated-LSTM-LogTarget-Small-affine_nonnegative,7,66.28571428571429,64.0,69.0,1.9059520091609048,0,0,0,2.2268033182412927,0.6242661448140899,73,weak_model
Calibrated-LSTM-QLIKE-scale_mean,7,67.0,62.0,70.0,2.6726124191242437,0,0,0,2.1782758391317496,0.6966731898238747,73,weak_model
Calibrated-Hybrid-QLIKE-scale_mean,7,68.71428571428571,65.0,71.0,2.1852940772540506,0,0,0,2.2514296083740946,0.6673189823874754,73,weak_model
Calibrated-LSTM-LogTarget-Small-scale_mean,7,69.28571428571429,67.0,72.0,2.3733211036908783,0,0,0,2.336117822808627,0.5694716242661448,73,weak_model
RollingVol-5,7,71.14285714285714,69.0,73.0,1.8844151368961313,0,0,0,1.30015437585836,0.619047619047619,73,weak_model
